timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,lastprotectionmask,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,bytescopied,operationstatus,viewsize,targetthreadcreatetime,targetthreadid
"2025-11-10 14:20:34.3172638Z","2025-11-10 14:20:34.3172638Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,,,,,,,1762784434317263800,,,,140737202880512,140737202880512,426752,413696,2497865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:34.3173514Z","2025-11-10 14:20:34.3173514Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,,,,,,,1762784434317351400,,,,140737304985600,140737304985600,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:34.3174164Z","2025-11-10 14:20:34.3174164Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,,,,,,,1762784434317416400,,,,140736694321152,140736694321152,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:34.3174718Z","2025-11-10 14:20:34.3174718Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,,,,,,,1762784434317471900,,,,140736997687296,140736997687296,84957,81920,449305766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:34.3175231Z","2025-11-10 14:20:34.3175231Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,,,,,,,1762784434317523100,,,,140737010335744,140737010335744,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:34.3176495Z","2025-11-10 14:20:34.3176495Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,,,,,,,1762784434317649600,,,,140737115914240,140737115914240,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:34.3177092Z","2025-11-10 14:20:34.3177092Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,,,,,,,1762784434317709300,,,,140736998342656,140736998342656,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:34.3232461Z","2025-11-10 14:20:34.3232461Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,,,,,,,1762784434323246100,,,,140736694321152,140736694321152,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:34.3238755Z","2025-11-10 14:20:34.3238755Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,,,,,,,1762784434323875500,,,,140737286897664,140737286897664,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:20:34.3240853Z","2025-11-10 14:20:34.3240853Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 5760 EDRi.exe",6312,,," 5760 EDRi.exe",,,"C:\Windows\System32\shlwapi.dll",,,,,,,,,,,,,,,,1762784434324085300,,,,140737286504448,140737286504448,402188,372736,2061718160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
