timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-10-27 18:41:05.2106709Z","2025-10-27 18:41:05.2106709Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 8308 VBoxTray.exe",8352,,," 8308 VBoxTray.exe",,,,,,,,,,,,18446692455378497536,18446692455378472960,140699742088112,0,161511243776,10112,161514258432,161514254336,140699742088112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.2109944Z","2025-10-27 18:41:05.2109944Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 8308 VBoxTray.exe",10112,,," 8308 VBoxTray.exe",,,,,,,,,,,,18446692455378497536,18446692455378472960,140699742088112,0,161511243776,10112,161514258432,161514250240,140699742088112,495900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.3163165Z","2025-10-27 18:41:05.3163165Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3172 ApplicationFrameHost.exe",4476,,," 3172 ApplicationFrameHost.exe",,,,,,,,,,,,18446692455344660480,18446692455344635904,140721973582784,0,701820551168,4476,701823451136,701823442944,140721973582784,1082620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.9698881Z","2025-10-27 18:41:05.9698881Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 1156 dwm.exe",1656,,," 1156 dwm.exe",,,,,,,,,,,,18446692455350751232,18446692455350726656,140721962327088,0,179858612224,1656,179861716992,179861708800,140721962327088,2919160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.9721715Z","2025-10-27 18:41:05.9721715Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStartStart "," 6248 SearchIndexer.exe",6696,,," 6232 SearchProtocolHost.exe",,,"C:\Windows\System32\SearchProtocolHost.exe",,,,,,,,,,,,,,,,,,,134060640659720944,0,730271,"0x","","",6248,146,3311,1,1,0,0,1113258876,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.974320500Z","2025-10-27 18:41:05.9743239Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6248 SearchIndexer.exe",,"NtOpenProcess with 0x101000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.974352000Z","2025-10-27 18:41:05.9743532Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6248 SearchIndexer.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.974874100Z","2025-10-27 18:41:05.9748761Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6232 <not found>",,"NtOpenProcess with 0x600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.974884200Z","2025-10-27 18:41:05.9748845Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6232 <not found>",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.975144100Z","2025-10-27 18:41:05.9751454Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6248 SearchIndexer.exe",,"NtOpenProcess with 0x1000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
