timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,timedatestamp,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,desiredaccess,returncode,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,lastprotectionmask,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,cycletime
"2025-11-10 14:21:09.3373138Z","2025-11-10 14:21:09.3373138Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",6996,,,,,,"C:\ProgramData\Cyvera\Prevention\b1f363df-7590-473f-bac3-b5d4b5253499\Logs\Traps_native_log.8.7.0.7735.etl.001",,,,,,,,,,1762784469337313800,,,,,,,18446714997438085056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3453453Z","2025-11-10 14:21:09.3453453Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM ","10876 CyveraConsole.exe",10836,,,"10876 CyveraConsole.exe",,,,,,,,,,,,,1762784469345345300,,,,,,,,,,,,,,,,,,,,,4096,140734885138432,134072580666568020,10876,0,0,0,5066549580817925,134072580666568041,10836,134072580666568020,10876,0,0,0,5066549580817925,"RWX",4096,134072580666568020,0,0,0,5066549580817925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3567045Z","2025-11-10 14:21:09.3567045Z","ETW-TI","Microsoft-Windows-Threat-Intelligence",6,"KERNEL_THREATINT_TASK_ALLOCVM ","10876 CyveraConsole.exe",10836,,,"10876 CyveraConsole.exe",,,,,,,,,,,,,1762784469356704500,,,,,,,,,,,,,,,,,,,,,4096,140734885142528,134072580666568020,10876,0,0,0,5066549580817925,134072580666568041,10836,134072580666568020,10876,0,0,0,5066549580817925,"RWX",4096,134072580666568020,0,0,0,5066549580817925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3612150Z","2025-11-10 14:21:09.3612150Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",12228,,,,,,"C:\ProgramData\Cyvera\Prevention\53b2d91f-258e-4341-9cb6-be6f5f363091\Logs\traps_native_log.8.7.0.7735.tmf",,,,,,,,,,1762784469361215000,8224,83886148,18446690209829648432,18446690209842415368,12228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3612270Z","2025-11-10 14:21:09.3612270Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",12228,,,,,,"C:\ProgramData\Cyvera\Prevention\53b2d91f-258e-4341-9cb6-be6f5f363091\Logs\traps_native_log.8.7.0.7735.tmf",,,,,,,,,,1762784469361227000,,,,,,,18446714997191235520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3621437Z","2025-11-10 14:21:09.3621437Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",12228,,,,,,"C:\ProgramData\Cyvera\Prevention\53b2d91f-258e-4341-9cb6-be6f5f363091\Logs\xdrhealth.log",,,,,,,,,,1762784469362143700,8224,83886148,18446690209829644432,18446690209768801192,12228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3621545Z","2025-11-10 14:21:09.3621545Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",12228,,,,,,"C:\ProgramData\Cyvera\Prevention\53b2d91f-258e-4341-9cb6-be6f5f363091\Logs\xdrhealth.log",,,,,,,,,,1762784469362154500,,,,,,,18446714997277849536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3641962Z","2025-11-10 14:21:09.3641962Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",12228,,,,,,"C:\ProgramData\Cyvera\Prevention\53b2d91f-258e-4341-9cb6-be6f5f363091\Logs\SandboxService\FileRecognizer",,,,,,,,,,1762784469364196300,128,35668001,18446690209829644832,18446690209768801192,12228,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3642056Z","2025-11-10 14:21:09.3642056Z","ETW","Microsoft-Windows-Kernel-File",10,"NameCreate Info "," 2972 cyserver.exe",12228,,,,,,"C:\ProgramData\Cyvera\Prevention\53b2d91f-258e-4341-9cb6-be6f5f363091\Logs\SandboxService\FileRecognizer",,,,,,,,,,1762784469364205600,,,,,,,18446714997232701808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 14:21:09.3670177Z","2025-11-10 14:21:09.3670177Z","ETW","Microsoft-Windows-Kernel-File",30,"CreateNewFile Info "," 2972 cyserver.exe",12228,,,,,,"C:\ProgramData\Cyvera\Prevention\53b2d91f-258e-4341-9cb6-be6f5f363091\Logs\SandboxService\MachineLearning",,,,,,,,,,1762784469367017700,128,35668001,18446690209829652832,18446690209795471048,12228,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
