timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,connid,daddr,dport,mss,rcvwin,rcvwinscale,sackopt,saddr,seqnum,size,sndwinscale,sport,tsopt,wsopt,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,timedatestamp,desiredaccess,returncode,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,lastprotectionmask,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,cycletime,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-11-10 08:23:23.1319462Z","2025-11-10 08:23:23.1319462Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,"PsOpenThread"," 4472 notepad.exe",10904,,," 4472 notepad.exe",10464,,,,,,,,,,,,1762763003131946200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 08:23:23.1324068Z","2025-11-10 08:23:23.1324068Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess"," 6464 explorer.exe",6100,,," 4472 notepad.exe",,,,,,,,,,,,,1762763003132406800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 08:23:23.1324917Z","2025-11-10 08:23:23.1324917Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess"," 6464 explorer.exe",6100,,," 4472 notepad.exe",,,,,,,,,,,,,1762763003132491700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 08:23:23.1325228Z","2025-11-10 08:23:23.1325228Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess"," 6464 explorer.exe",6100,,," 4472 notepad.exe",,,,,,,,,,,,,1762763003132522800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 08:23:23.1331570Z","2025-11-10 08:23:23.1331570Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess"," 6464 explorer.exe",6100,,," 4472 notepad.exe",,,,,,,,,,,,,1762763003133157000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 08:23:23.1356976Z","2025-11-10 08:23:23.1356976Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess"," 6464 explorer.exe",6864,,," 4472 notepad.exe",,,,,,,,,,,,,1762763003135697600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 08:23:23.1388349Z","2025-11-10 08:23:23.1388349Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess"," 6464 explorer.exe",6864,,," 4472 notepad.exe",,,,,,,,,,,,,1762763003138835000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 08:23:23.1388780Z","2025-11-10 08:23:23.1388780Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess"," 6464 explorer.exe",6864,,," 4472 notepad.exe",,,,,,,,,,,,,1762763003138878000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 08:23:23.1391756Z","2025-11-10 08:23:23.1391756Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess"," 6464 explorer.exe",12216,,," 4472 notepad.exe",,,,,,,,,,,,,1762763003139175600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-11-10 08:23:23.1392528Z","2025-11-10 08:23:23.1392528Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"PsOpenProcess"," 6464 explorer.exe",12216,,," 4472 notepad.exe",,,,,,,,,,,,,1762763003139252800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
