timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,timestamp_ns,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,protectionmask,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,viewsize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,regionsize,lastprotectionmask
"2025-12-15 14:39:20.2270468Z","ETW","0","0","2025-12-15 14:39:20.2270468Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,1765809560227046800,,,,,,,,,,,140729213583360,140729213583360,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2271058Z","ETW","0","0","2025-12-15 14:39:20.2271058Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wbem\wbemsvc.dll",,,,,,,,,,1765809560227105800,,,,,,,,,,,140729453576192,140729453576192,84957,81920,449305766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2271550Z","ETW","0","0","2025-12-15 14:39:20.2271550Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wbem\wbemprox.dll",,,,,,,,,,1765809560227155000,,,,,,,,,,,140729453707264,140729453707264,100412,69632,4018993513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2272839Z","ETW","0","0","2025-12-15 14:39:20.2272839Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wbemcomn.dll",,,,,,,,,,1765809560227283900,,,,,,,,,,,140729514393600,140729514393600,604363,589824,25983561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2273443Z","ETW","0","0","2025-12-15 14:39:20.2273443Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wbem\fastprox.dll",,,,,,,,,,1765809560227344300,,,,,,,,,,,140729452199936,140729452199936,1119210,1097728,1929546105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2291658Z","ETW","0","0","2025-12-15 14:39:20.2291658Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\pla.dll",,,,,,,,,,1765809560229165800,,,,,,,,,,,140729213583360,140729213583360,1517526,1515520,2962156484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2295183Z","ETW","0","0","2025-12-15 14:39:20.2295183Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\nsi.dll",,,,,,,,,,1765809560229518300,,,,,,,,,,,140729795805184,140729795805184,45899,32768,1877205568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2299896Z","ETW","0","0","2025-12-15 14:39:20.2299896Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\pdh.dll",,,,,,,,,,1765809560229989600,,,,,,,,,,,140729454755840,140729454755840,367042,331776,2534457362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2300866Z","ETW","0","0","2025-12-15 14:39:20.2300866Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 9196 EDRi.exe",2008,,," 9196 EDRi.exe",,,"C:\Windows\System32\cabinet.dll",,,,,,,,,,1765809560230086600,,,,,,,,,,,140729611190272,140729611190272,160617,167936,1462743519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2304160Z","ETW","0","0","2025-12-15 14:39:20.2304160Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\wevtapi.dll",,,,,,,,,,1765809560230416000,,,,,,,,,,,140729677905920,140729677905920,426752,413696,2497865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 14:39:20.2309280Z","ETW","0","0","2025-12-15 14:39:20.2309280Z","Microsoft-Windows-Kernel-Process",5,"ImageLoad Info "," 9196 EDRi.exe",8720,,," 9196 EDRi.exe",,,"C:\Windows\System32\SHCore.dll",,,,,,,,,,1765809560230928000,,,,,,,,,,,140729787023360,140729787023360,705789,708608,3896055862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
