timestamp_etw,src_type,C_relevant,C_minimal,timestamp_sys,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,name,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,timestamp_ns,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,desiredaccess,returncode,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,allocationtype,baseaddress,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,sessionid,lastprotectionmask,viewsize
"2025-12-15 10:51:38.6666961Z","ETW","1","0","2025-12-15 10:51:38.6666961Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5296 <not found>",6364,,," 5296 <not found>",,,,,,,,,,,,,18446729281159290880,18446729281159262208,140696176694496,0,88135409664,6364,1765795898666696100,88134713344,88134680576,140696176694496,38079893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6667923Z","ETW","1","0","2025-12-15 10:51:38.6667923Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5296 <not found>",5136,,," 5296 <not found>",,,,,,,,,,,,,18446729281159933952,18446729281159905280,140725747044624,0,88135442432,5136,1765795898666792400,88141201408,88141168640,140725747044624,6172952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6670216Z","ETW","1","0","2025-12-15 10:51:38.6670216Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5296 <not found>",2452,,," 5296 <not found>",,,,,,,,,,,,,18446729281160065024,18446729281160036352,140725747044624,0,88135475200,2452,1765795898667021600,88144347136,88144314368,140725747044624,3213462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6670929Z","ETW","1","0","2025-12-15 10:51:38.6670929Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5296 <not found>",8068,,," 5296 <not found>",,,,,,,,,,,,,18446729281159966720,18446729281159938048,140725747044624,0,88135450624,8068,1765795898667092900,88142249984,88142217216,140725747044624,273768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6671190Z","ETW","1","0","2025-12-15 10:51:38.6671190Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5296 <not found>",4308,,," 5296 <not found>",,,,,,,,,,,,,18446729281159835648,18446729281159806976,140725726278752,0,88135434240,4308,1765795898667119000,88140152832,88140120064,140725726278752,107832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6671432Z","ETW","1","0","2025-12-15 10:51:38.6671432Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5296 <not found>",2620,,," 5296 <not found>",,,,,,,,,,,,,18446729281159704576,18446729281159675904,140725747044624,0,88135426048,2620,1765795898667143200,88139104256,88139071488,140725747044624,108988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6671703Z","ETW","1","0","2025-12-15 10:51:38.6671703Z","Microsoft-Windows-Kernel-Process",4,"ThreadStop Stop "," 5296 <not found>",8212,,," 5296 <not found>",,,,,,,,,,,,,18446729281159671808,18446729281159643136,140725747044624,0,88135417856,8212,1765795898667170300,88138055680,88138022912,140725747044624,521696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6675730Z","ETW","0","0","2025-12-15 10:51:38.6675730Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5296 <not found>",8212,,," 5296 <not found>",,,"C:\Windows\System32\dllhost.exe",,,,,,,,,,,,,,,,1765795898667573000,,,,,140696176689152,140696176689152,54074,36864,1603640900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6675829Z","ETW","0","0","2025-12-15 10:51:38.6675829Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5296 <not found>",8212,,," 5296 <not found>",,,"C:\Windows\System32\propsys.dll",,,,,,,,,,,,,,,,1765795898667582900,,,,,140725640364032,140725640364032,1053009,999424,351302805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-12-15 10:51:38.6675921Z","ETW","0","0","2025-12-15 10:51:38.6675921Z","Microsoft-Windows-Kernel-Process",6,"ImageUnload Info "," 5296 <not found>",8212,,," 5296 <not found>",,,"C:\Windows\System32\uxtheme.dll",,,,,,,,,,,,,,,,1765795898667592100,,,,,140725661794304,140725661794304,640454,647168,3697381598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
