timestamp,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,task_name,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid
"2025-09-20 12:59:33.9771108Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6492 RuntimeBroker.exe",16460,,," 6492 RuntimeBroker.exe",,,,,,,,,,,,18446712763356745728,18446712763356721152,140726305414320,0,660692885504,16460,660696203264,660696154112,140726305414320,512240,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.9771173Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6336 SearchHost.exe",2940,,," 6336 SearchHost.exe",,,,,,,,,,,,18446712763358359552,18446712763358334976,140726305414320,0,321031233536,2940,321036222464,321036206080,140726305414320,2863680,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.9772054Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6684 RuntimeBroker.exe",16048,,," 6684 RuntimeBroker.exe",,,,,,,,,,,,18446712763354918912,18446712763354894336,140726305414320,0,1002537304064,16048,1002543513600,1002543464448,140726305414320,11723380,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.9773383Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6684 RuntimeBroker.exe",16696,,," 6684 RuntimeBroker.exe",,,,,,,,,,,,18446712763354460160,18446712763354435584,140726305414320,0,1002537287680,16696,1002542465024,1002542415872,140726305414320,18395800,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:33.9774335Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 6684 RuntimeBroker.exe",3088,,," 6684 RuntimeBroker.exe",,,,,,,,,,,,18446712763353628672,18446712763353604096,140726305414320,0,1002537254912,3088,1002539843584,1002539794432,140726305414320,79383900,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:34.2243342Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",8808,,," 5572 explorer.exe",,,,,,,,,,,,18446712763363807232,18446712763363782656,140726305414320,0,4276224,7076,89653248,89595904,140726305414320,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:34.2256901Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",6116,,," 5572 explorer.exe",,,,,,,,,,,,18446712763261734912,18446712763261710336,140726294125616,0,4284416,11496,94437376,94380032,140726294125616,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:34.2775437Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",6116,,," 5572 explorer.exe",,,,,,,,,,,,18446712763357843456,18446712763357818880,140726294125616,0,4292608,16068,118095872,118038528,140726294125616,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:34.2781975Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",6092,,," 5572 explorer.exe",,,,,,,,,,,,18446712763354288128,18446712763354263552,140726294125616,0,4300800,9656,119668736,119611392,140726294125616,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:34.2836278Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5572 explorer.exe",8760,,," 5572 explorer.exe",,,,,,,,,,,,18446712763261878272,18446712763261853696,140726294125616,0,4268032,8760,116523008,116465664,140726294125616,7838260,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:34.2838985Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5572 explorer.exe",9656,,," 5572 explorer.exe",,,,,,,,,,,,18446712763354288128,18446712763354263552,140726294125616,0,4300800,9656,119668736,119611392,140726294125616,3699680,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:34.6883680Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 9412 dllhost.exe",11008,,," 9412 dllhost.exe",,,,,,,,,,,,18446712763301203968,18446712763301179392,140726305414320,0,318532067328,11008,318534320128,318534287360,140726305414320,251560,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:34.7051834Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 7064 msedgewebview2.exe",18092,,," 7064 msedgewebview2.exe",,,,,,,,,,,,18446712763320107008,18446712763320082432,140726305414320,0,164518371328,18092,164553031680,164553015296,140726305414320,3480420,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:34.7052278Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 7064 msedgewebview2.exe",3424,,," 7064 msedgewebview2.exe",,,,,,,,,,,,18446712763348238336,18446712763348213760,140726305414320,0,164518395904,3424,164544643072,164544626688,140726305414320,1875300,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:34.7463137Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",8808,,," 5572 explorer.exe",,,,,,,,,,,,18446712763354288128,18446712763354263552,140726305414320,0,4317184,14892,116523008,116465664,140726305414320,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:34.7519503Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5024 svchost.exe",6800,,," 5024 svchost.exe",,,,,,,,,,,,18446712763262251008,18446712763262226432,140726305414320,198,459629993984,4128,459631755264,459631722496,140726305414320,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:34.7676436Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5024 svchost.exe",14032,,," 5024 svchost.exe",,,,,,,,,,,,18446712763374379008,18446712763374354432,140726294125616,198,459629985792,14032,459633852416,459633819648,140726294125616,8966860,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:34.7676558Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3280 svchost.exe",4548,,," 3280 svchost.exe",,,,,,,,,,,,18446712763363291136,18446712763363266560,140726294125616,51,976916877312,4548,976919986176,976919953408,140726294125616,6396920,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:35.0840539Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","  524 svchost.exe",14296,,,"  524 svchost.exe",,,,,,,,,,,,18446712763343134720,18446712763343110144,140726305414320,0,411563589632,14296,411566080000,411566047232,140726305414320,11957080,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:35.4741304Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5572 explorer.exe",6116,,," 5572 explorer.exe",,,,,,,,,,,,18446712763261878272,18446712763261853696,140726294125616,0,4325376,3596,119668736,119611392,140726294125616,,,,,,,,,,,,,,,,,,,
