timestamp,type,provider_name,event_id,task_name,process_id,thread_id,ppid,pid,targetpid,targettid,message,processid,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,as version,av version,engine version,createattributes,createoptions,fileobject,irp,issuingthreadid,shareaccess,filekey,attrid,attrseq,attrsubset,ismultiprocdetection,ismultiprocmatch,matchedthreatsnumber,action,key,vault,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,commitcharge,commitpeak,cpucyclecount,createtime,exitcode,exittime,handlecount,hardfaultcount,processsequencenumber,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,desiredaccess,returncode,creationtime,engineid,flags,flags2high,flags2low,oldflags,oldflags2high,oldflags2low,source,processcontextid,data,startstop,threadtime,classification,eventtype,fileid,fileusn,info,scansource,deltacpu,deltawall,featureid,id,process,reason,linksourcename,linktargetname,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,integritylevel,accessmask,washardened,oldfilename,frozenprocessid,channel,eventid,biggestoffsetwritten,firstoffsetwritten,lastoffsetwritten,numberofwrites,smallestoffsetwritten,totalsizeofappends,totalsizeofwrites,startqpc,count,terminationtime,processimagepath,taintreason,connid,daddr,dport,saddr,seqnum,size,sport,mss,rcvwin,rcvwinscale,sackopt,sndwinscale,tsopt,wsopt,targetprocesscreationtime,targetprocessstartkey
"2025-09-05 12:46:12.5299508Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","19000 WerFault.exe",11116,,,"19000 WerFault.exe",,,,"C:\Windows\System32\cryptsp.dll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140736856981504,140736856981504,133346,110592,1637991129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5305639Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","19000 WerFault.exe",17340,,,"19000 WerFault.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18446639081631592448,18446639081631567872,140736917348896,0,801369243648,11612,801371062272,801371054080,140736917348896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5306037Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 2900 CalculatorApp.exe",5452,,," 2900 CalculatorApp.exe",,,,"C:\Windows\System32\d3d10warp.dll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140736750878720,140736750878720,6027108,5988352,426759432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5312711Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 2900 CalculatorApp.exe",5452,,," 2900 CalculatorApp.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5314310Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 2900 CalculatorApp.exe",20192,,," 2900 CalculatorApp.exe",,,,"C:\Windows\System32\Windows.StateRepositoryClient.dll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140736632520704,140736632520704,374661,327680,3001738537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5315970Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 8144 ApplicationFrameHost.exe",21244,,," 8144 ApplicationFrameHost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5318746Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 5380 explorer.exe",5932,,," 8144 ApplicationFrameHost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5320414Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5380 explorer.exe",5932,,," 5380 explorer.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18446639081642995712,18446639081642971136,140736902700080,0,9744384,12892,116260864,116203520,140736902700080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5326185Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",5,"Info "," 4900 ctfmon.exe",6264,,," 8144 ApplicationFrameHost.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-05 12:46:12.5348800Z","ETW","Microsoft-Windows-Kernel-Audit-API-Calls",6,"Info "," 4900 ctfmon.exe",6264,,," 8144 ApplicationFrameHost.exe",5440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
