timestamp,type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-09-19 08:22:48.2853614Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6184 SecurityHealthHost.exe",7060,,," 6184 SecurityHealthHost.exe",,,,,,,,,,,,,18446656690327027712,18446656690326999040,140725944310960,0,14857228288,6268,14861467648,14861459456,140725944310960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:48.2863574Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6184 SecurityHealthHost.exe",6268,,," 6184 SecurityHealthHost.exe",,,,,,,,,,,,,18446656690420613120,18446656690420584448,140725944310960,0,14857236480,9240,14861991936,14861983744,140725944310960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:48.2895021Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 5592 svchost.exe",,,,,,,,,,,,,18446656690331713536,18446656690331684864,140725944310960,0,1030479929344,7916,1030483869696,1030483836928,140725944310960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-19 08:22:48.2918083Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\wpnapps.dll",,,,,,,,,,,,,,,,,,,,,1429308,,,,,,,,,,,376086637,140725477507072,140725477507072,1429504,,,,,,,,,,,,
"2025-09-19 08:22:48.2918625Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\SecurityHealth\10.0.27840.1000-0\SecurityHealthProxyStub.dll",,,,,,,,,,,,,,,,,,,,,226783,,,,,,,,,,,1459834010,140725527117824,140725527117824,200704,,,,,,,,,,,,
"2025-09-19 08:22:48.2919906Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\wldp.dll",,,,,,,,,,,,,,,,,,,,,481969,,,,,,,,,,,158438574,140725884420096,140725884420096,421888,,,,,,,,,,,,
"2025-09-19 08:22:48.2920445Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\SecurityHealthUdk.dll",,,,,,,,,,,,,,,,,,,,,329657,,,,,,,,,,,164658954,140725529542656,140725529542656,278528,,,,,,,,,,,,
"2025-09-19 08:22:48.2922664Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\shlwapi.dll",,,,,,,,,,,,,,,,,,,,,424140,,,,,,,,,,,4162087576,140725907947520,140725907947520,401408,,,,,,,,,,,,
"2025-09-19 08:22:48.2933429Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\WinTypes.dll",,,,,,,,,,,,,,,,,,,,,1568255,,,,,,,,,,,2497817283,140725896478720,140725896478720,1503232,,,,,,,,,,,,
"2025-09-19 08:22:48.2934555Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\shlwapi.dll",,,,,,,,,,,,,,,,,,,,,424140,,,,,,,,,,,4162087576,140725907947520,140725907947520,413696,,,,,,,,,,,,
