timestamp,type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,baseaddress,bytescopied,callingprocesscreatetime,callingprocessid,callingprocessprotection,callingprocesssectionsignaturelevel,callingprocesssignaturelevel,callingprocessstartkey,callingthreadcreatetime,callingthreadid,operationstatus,targetprocesscreatetime,targetprocessprotection,targetprocesssectionsignaturelevel,targetprocesssignaturelevel,targetprocessstartkey,vavadallocationbase,vavadallocationprotect,vavadcommitsize,vavadmmfname,vavadqueryresult,vavadregionsize,vavadregiontype,targetthreadcreatetime,targetthreadid,allocationtype,originalprocesscreatetime,originalprocessid,originalprocessprotection,originalprocesssectionsignaturelevel,originalprocesssignaturelevel,originalprocessstartkey,protectionmask,regionsize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes,fullregionsize,lastprotectionmask,targetaddress,apcargument1,apcargument1vadallocationbase,apcargument1vadallocationprotect,apcargument1vadcommitsize,apcargument1vadmmfname,apcargument1vadqueryresult,apcargument1vadregionsize,apcargument1vadregiontype,apcargument2,apcargument3,apcroutine,apcroutinevadallocationbase,apcroutinevadallocationprotect,apcroutinevadcommitsize,apcroutinevadmmfname,apcroutinevadqueryresult,apcroutinevadregionsize,apcroutinevadregiontype,realeventtime,targetthreadalertable
"2025-09-18 13:19:07.4695227Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,,"13528 svchost.exe",,,,,,,,,,,,,,,,,,18446712763260088320,18446712763260063744,140726305414320,0,1060490452992,4964,1060493066240,1060493033472,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:07.5171895Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 7064 msedgewebview2.exe",,,,,,,,,,,,,,,,,,18446712763260145664,18446712763260121088,140726305414320,0,164518428672,15168,164536254464,164536250368,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:07.5808657Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","10892 ServiceHub.Host.dotnet.x64.exe",8300,,,"10892 ServiceHub.Host.dotnet.x64.exe",,,,,,,,,,,,,,,,,1171540,18446712763357757440,18446712763357732864,140724659042256,0,869988671488,8300,870002982912,870002974720,140724659042256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:07.5809213Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","10892 ServiceHub.Host.dotnet.x64.exe",13320,,,"10892 ServiceHub.Host.dotnet.x64.exe",,,,,,,,,,,,,,,,,2688120,18446712763349614592,18446712763349590016,140724659042256,0,869988663296,13320,869999837184,869999828992,140724659042256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:07.9297977Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 7316 msedgewebview2.exe",,,,,,,,,,,,,,,,,,18446712763357757440,18446712763357732864,140726305414320,0,724321648640,5584,724339523584,724339519488,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:07.9298599Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 7216 msedgewebview2.exe",,,,,,,,,,,,,,,,,,18446712763260346368,18446712763260321792,140726305414320,0,750520074240,15996,750553923584,750553919488,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:08.0569096Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","13504 Widgets.exe",6096,,,"13504 Widgets.exe",,,,,,,,,,,,,,,,,2375760,18446712763279802368,18446712763279777792,140726305414320,0,310299328512,6096,310302998528,310302990336,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:08.1370172Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 3120 PerfWatson2.exe",15028,,," 3120 PerfWatson2.exe",,,,,,,,,,,,,,,,,985720,18446712763260002304,18446712763259977728,140725141630640,0,870905786368,15028,870904758272,870904741888,140725141630640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:08.2323403Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 4184 svchost.exe",13916,,," 4184 svchost.exe",,,,,,,,,,,,,,,,,196460,18446712763345113088,18446712763345088512,140726305414320,0,461837352960,13916,461835927552,461835894784,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-18 13:19:08.2323403Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop ","11392 WidgetService.exe",2760,,,"11392 WidgetService.exe",,,,,,,,,,,,,,,,,543020,18446712763323670528,18446712763323645952,140726305414320,0,292346060800,2760,292348231680,292348223488,140726305414320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
